image_id,file,source_dataset,source_record,lead,segment_index,start_seconds,duration_seconds,sampling_frequency_hz,source_signal_url,license,clinical_use
ECG-0001,imagens_ecg/ecg_0001.png,MIT-BIH Arrhythmia Database v1.0.0,100,MLII,1,0.0,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0002,imagens_ecg/ecg_0002.png,MIT-BIH Arrhythmia Database v1.0.0,100,V5,2,200.061,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0003,imagens_ecg/ecg_0003.png,MIT-BIH Arrhythmia Database v1.0.0,100,MLII,3,400.122,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0004,imagens_ecg/ecg_0004.png,MIT-BIH Arrhythmia Database v1.0.0,100,V5,4,600.186,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0005,imagens_ecg/ecg_0005.png,MIT-BIH Arrhythmia Database v1.0.0,100,MLII,5,800.247,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0006,imagens_ecg/ecg_0006.png,MIT-BIH Arrhythmia Database v1.0.0,100,V5,6,1000.308,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0007,imagens_ecg/ecg_0007.png,MIT-BIH Arrhythmia Database v1.0.0,100,MLII,7,1200.369,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0008,imagens_ecg/ecg_0008.png,MIT-BIH Arrhythmia Database v1.0.0,100,V5,8,1400.433,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0009,imagens_ecg/ecg_0009.png,MIT-BIH Arrhythmia Database v1.0.0,100,MLII,9,1600.494,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
ECG-0010,imagens_ecg/ecg_0010.png,MIT-BIH Arrhythmia Database v1.0.0,100,V5,10,1800.556,5,360.0,https://physionet.org/files/mitdb/1.0.0/100.dat,Open Data Commons Attribution License v1.0,educational_only
